Du 03/11/2025 Au 09/11/2025,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,
SEANCES,REPOS ,SV1 >.               4 x 1000 r45 ,JOG 30 ,VMA >.              8 x 400 r1 ,REPOS ,MUSCU/PPS     & 4 x 250 r3 ,JOG 1H ,
CHRONOS ,,,,[1'16 - 1'20],,41 / 43 / 43 / 44 ,5'26 de moyenne ,
ZONE 1 (E),,,X,,,,X,
ZONE 2 (Seuils) ,,X,,,,,,
ZONE 3 (Supra max) ,,,,X,,,,
VITESSE (FR),,,,,,X,,
VOLUME,0,0,0,0,0,0,0,
Du 10/11/2025 Au 16/11/2025,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,
SEANCES,REPOS ,JOG 40 & LD ,CROSS UNSS,REPOS,JOG 30 & 5 x 30/30  ,5K LILLE ,1H >                  2 x 1500 & Côtes ,
CHRONOS ,,4'50 de moyenne ,3'41 de moyenne ,,,3'41 ->18'23,,
ZONE 1 (E),,X,,,X,,X,
ZONE 2 (Seuils) ,,,,,,,X,
ZONE 3 (Supra max) ,,,X,,,X,,
VITESSE (FR),,,,,,,X,
VOLUME,0,0,0,0,0,0,0,
Du 17/11/2025 Au 23/11/2025,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,
SEANCES,REPOS,PPS ,REPOS,REPOS,REPOS ,REPOS ,REPOS ,
Chronos réalisés ,,,,,,,,
ZONE 1 (E),,,,,,,,
ZONE 2 (Seuils) ,,,,,,,,
ZONE 3 (Supra max) ,,,,,,,,
VITESSE (FR),,,,,,,,
VOLUME,0,0,0,0,0,0,0,0
Du 24/11/2025 Au 30/11/2025,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,
SEANCES,,MUSCU ,HT > 2 x 10 r5 (ZONE 2) ,,,,JOG 30 ,
Chronos réalisés ,,,,,,,5'06 de moyenne ,
ZONE 1 (E),,,,,,,,
ZONE 2 (Seuils) ,,,,,,,,
ZONE 3 (Supra max) ,,,,,,,,
VITESSE (FR),,,,,,,,
VOLUME,0,0,0,0,0,0,0,
Du 01/12/2025 Au 07/12/2025,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,
SEANCES,JOG 40' ,PPS & PLACEMENT ,HT 40 >             2 x 5 ACTIF ,SPE 800.          2 x (250 r1 150) ,REPOS,JOG 30 & LD ,RELAIS CROSS ,
Chronos réalisés ,5'18 de moyenne ,,,1'19/1'28/1'24/1'24/1'25/1'25,,,,
ZONE 1 (E),,X,,,,X,X,
ZONE 2 (Seuils) ,,,,,,,,
ZONE 3 (Supra max) ,,,,X,,,X,
VITESSE (FR),,,,,,,,
VOLUME,0,0,0,0,0,0,0,
Du 08/12/2025 Au 14/12/2025,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,
SEANCES,REPOS,PPG & 2 x (2 x 200 r30'') r1'30 ,JOG 30' ,VMA (100%) >   8 x 300 r100 (~1'00) ,REPOS,TECHNIQUE & 4 x 250 r3 ,JOG 40 ,
Chronos réalisés ,,34/37/36/38,5'10 en moyenne,1'02/1'02/1'00/1'00/1'01/1'01/1'01/1'01,,Dernière séance > 41 / 43 / 43 / 44  aujourd'hui > 39 / 42 / 41 / 23,5'26 de moyenne ,
ZONE 1 (E),X,X,X,X,,X,X,
ZONE 2 (Seuils) ,,,,,,,,
ZONE 3 (Supra max) ,,,,X,,,,
VITESSE (FR),,,,,,X,,
VOLUME,0,0,0,0,0,0,0,0
Du 15/12/2025 Au 21/12/2025,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,
SEANCES,REPOS,PPG & VITESSE ,JOG 40,SPE,REPOS,COTES.                       6 x 150 (80%) ,FARTLEK ,
Chronos réalisés ,,,,,,,,
ZONE 1 (E),,X,X,X,,X,X,
ZONE 2 (Seuils) ,,,,,,,,
ZONE 3 (Supra max) ,,,,X,,,X,
VITESSE (FR),,X,,X,,X,,
VOLUME,0,0,0,0,0,0,0,0